Project name,ID,Country,Partners,Project type,Announcement,FID,Opertion,Suspension/decommissioning,Project Status,Project phase,Announced capacity (Mt CO2/yr),Estimated capacity by IEA (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub,Region
Waste to energy CCU to TES Wilhemshaven (unknown facility),994,Germany,"Aker CC, TES",CCU,2023,,,,Planned,,0.4,0.4,Power and heat,Use,,Europe
Waste to hydrogen Boson Energy (BEH2X LAVNT),821,Latvia,Boson Energy SA,CCU,2022,,2024,,Planned,,,,Hydrogen or ammonia,Use,,Europe
Waste-to-energy Aker CC (unknown facility),940,France,Aker CC,Capture,2023,,,,Planned,,0.2,0.2,Power and heat,Unknown/unspecified,,Europe
West bay storage Galveston (TX),1050,United States,BP carbon solutions,Storage,2023,,,,Planned,,,,Storage,Dedicated storage,West bay storage Galveston (TX),North America
West Java sea rig-to-CCS JSA,1022,Indonesia,"Pertamina, KNOC",Storage,2024,,,,Planned,,,,Storage,Dedicated storage,,Other Asia Pacific
Weyburn-Midale storage,659,Canada,Whitecap Resources Inc. and Cardinal Energy LTD.,Storage,,,2020,,Operational,,3,3,Storage,EOR,,North America
WH2V therminal (Wilhelshaven green energy hub phase 1),678,"Belgium, Germany, Netherlands, Switzerland, USA",TES,Transport,2022,,2029,,Planned,,10,10,Transport,Dedicated storage,German Carbon Grid,Europe
Whiting Refinery,980,United States,BP Carbon Solutions LLC,Capture,2023,,,,Planned,,,,Other fuel transformation,Dedicated storage,"Project Crossroads (IN, IL, MI)",North America
Wilhelmshaven Energy Hub BlueHyNow,409,Germany,Wintershall Dea,Capture,2022,,2026,,Planned,,1.3,1.3,Hydrogen or ammonia,Dedicated storage,WH2V eng hub,Europe
William Echo Springs CarbonSAFE (WY),959,United States,"University of Wyoming, Williams",Storage,2023,,,,Planned,,,1.667,Storage,Dedicated storage,William Echo Springs CarbonSAFE (WY),North America
Wintershall Dea Luna storage,530,Norway,"Wintershall Dea (60%), TotalEnergies (40%) (formerly owned by CapeOmega)",Storage,2022,2025,2030,,Planned,,5,5,Storage,Dedicated storage,Wintershall dea Luna,Europe
Wintershall Dea-Equinor Gernany-Norway pipeline phase 1,528,Germany-Norway,"Wintershall Dea, Equinor",Transport,2022,,2032,,Planned,1,20,20,Transport,Dedicated storage,Wintershall Dea-Equinor Gernany-Norway pipeline,Europe
Wintershall Dea-Equinor Gernany-Norway pipeline phase 2,529,Germany-Norway,"Wintershall Dea, Equinor",Transport,2022,,2037,,Planned,2,20,20,Transport,Dedicated storage,Wintershall Dea-Equinor Gernany-Norway pipeline,Europe
Woodside Browse CCS Assessment,629,Australia,Woodside energy,Full chain,2022,,,,Planned,,,,Natural gas processing/LNG,Dedicated storage,,Australia and New Zealand
Yamal LNG,410,Russia,Novatek,Full chain,,,,,Planned,,,,Natural gas processing/LNG,Unknown/unspecified,,Eurasia
Yanchang integrated CCUS Yulin Coal Chemical (Shaanxi) phase 1,411,People's Republic of China,Yanchang Petroleum,Full chain,2015,,2022,,Operational,1,0.3,0.3,Other fuel transformation,EOR,Yanchang oilfield,Other Asia Pacific
Yanchang integrated CCUS Yulin Coal Chemical (Shaanxi) phase 2,929,People's Republic of China,Yanchang Petroleum,Full chain,2022,,,,Planned,2,2.4,2.4,Other fuel transformation,EOR,Yanchang oilfield,Other Asia Pacific
Yanchang integrated CCUS Yulin Coal Chemical (Shaanxi) phase 3,930,People's Republic of China,Yanchang Petroleum,Full chain,2022,,,,Planned,3,2.3,2.3,Other fuel transformation,EOR,Yanchang oilfield,Other Asia Pacific
Yara Pilbara ammonia,788,Australia,"Yara, JERA",Capture,2021,,,,Planned,,,,Hydrogen or ammonia,Unknown/unspecified,,Australia and New Zealand
Yara Sluiskil fertiliser,465,Netherlands,Yara,Capture,2022,2023,2026,,Under construction,,0.8,0.8,Chemicals,Dedicated storage,Northern Lights,Europe
Yara-BASF Gulf Coast,826,United States,"Yara, BASF",Capture,2023,,2028,,Planned,,,2.1,Hydrogen or ammonia,Unknown/unspecified,,North America
ZerCal250,640,United Kingdom,"Origin, Singleton Birch",Capture,2021,,,,Planned,,,,Cement,Dedicated storage,Northern Endurance Partnership,Europe
Zutica and Ivanic grad EOR extension,725,Croatia,INA/MOL,Storage,,,,,Planned,,,,Storage,EOR,,Europe
